lambda,fixed,Pb,Pd,Nc,N
0.1,0,0,0.0254659333,0.1050706198,30000000
0.2,0,0,0.0518931667,0.2207898152,30000000
0.3,0,0,0.0790465,0.3473896565,30000000
0.4,0,0,0.1069708667,0.4857060979,30000000
0.5,0,0,0.1353571,0.635338394,30000000
0.6,0,0,0.1643016333,0.7972593184,30000000
0.7,0,0.0000000333,0.1931231333,0.9703542189,30000000
0.8,0,0.0000000333,0.2221713,1.155462994,30000000
0.9,0,0.0000001,0.2510881,1.3517966039,30000000
1,0,0.0000002,0.2796035,1.5586553169,30000000
1.1,0,0.0000004333,0.3079914,1.7782000678,30000000
1.2,0,0.0000010333,0.3350708667,2.00348591,30000000
1.3,0,0.0000026667,0.3623086,2.2417928585,30000000
1.4,0,0.0000070333,0.3882009,2.4866884772,30000000
1.5,0,0.0000138333,0.4131338333,2.7384202165,30000000
1.6,0,0.0000313333,0.4372415333,2.9998184608,30000000
1.7,0,0.0000645,0.4601801667,3.2638184274,30000000
1.8,0,0.0001163667,0.4818781333,3.5336339287,30000000
1.9,0,0.0002035,0.5028599,3.8100187688,30000000
2,0,0.0003498333,0.5223925667,4.0879919287,30000000
2.1,0,0.0005436667,0.5408880667,4.3695546033,30000000
2.2,0,0.0008482333,0.5583180667,4.6554027935,30000000
2.3,0,0.0012841,0.5743405333,4.9402648077,30000000
2.4,0,0.0018764,0.5894650333,5.2251247085,30000000
2.5,0,0.0026913,0.6037638,5.5119096043,30000000
2.6,0,0.0155238667,0.7980531667,-nan,30000000
2.7,0,0.0050195,0.6282449333,6.0799937641,30000000
2.8,0,0.0066881,0.6391251333,6.3620334843,30000000
2.9,0,0.0086713333,0.6486324,6.6374733509,30000000
3,0,0.0111021333,0.6571039667,6.9121053823,30000000
3.1,0,0.0083099333,0.3954778333,0,30000000
3.2,0,0.0171686333,0.6713644,7.4444462413,30000000
3.3,0,0.0209015667,0.6768158,7.6985559182,30000000
3.4,0,0.0252516667,0.6810822,7.9451774148,30000000
3.5,0,0.0299541,0.6846703,8.1884253781,30000000
3.6,0,0.0350550333,0.6873987333,8.4218587566,30000000
3.7,0,0.0069834333,0.1185520667,0,30000000
3.8,0,0.0468351667,0.6901325,8.865212596,30000000
3.9,0,0.0535487,0.6902692333,9.0774883696,30000000
4,0,0.0604824667,0.6896044333,9.2758266279,30000000
4.1,0,0.0673449333,0.6886291333,9.4615113272,30000000
4.2,0,0.0753265667,0.6867683,9.6503266102,30000000
4.3,0,0.0831057,0.6842553333,9.824361365,30000000
4.4,0,0.0915671667,0.6812468,-nan,30000000
4.5,0,0.0999825667,0.677879,10.1513124705,30000000
4.6,0,0.108686,0.6740064,10.3014834516,30000000
4.7,0,0.1175528,0.6697985333,10.4435511936,30000000
4.8,0,0.1263728,0.6651437667,10.5781182538,30000000
4.9,0,0.1356189667,0.6603159667,10.7118556748,30000000
5,0,0.1447738667,0.6552198667,10.8297425816,30000000
5.1,0,0.1536464667,0.6501859333,10.9458510404,30000000
5.2,0,0.1628985667,0.6448108,11.0587886444,30000000
5.3,0,0.1720980333,0.6392353667,11.1611189536,30000000
5.4,0,0.1812503,0.6334888667,11.2588708321,30000000
5.5,0,0.1906097333,0.6276345333,11.3543488572,30000000
5.6,0,0.1997111333,0.6215713667,11.4436348575,30000000
5.7,0,0.2089963,0.6154757333,11.5294675384,30000000
5.8,0,0.2180862,0.6094813333,11.6095500928,30000000
5.9,0,0.2266053,0.6037329667,11.6819208404,30000000
6,0,0.2354905,0.5978859667,11.7565385853,30000000
6.1,0,0.2445796,0.5913865667,11.8249435772,30000000
6.2,0,0.2531432333,0.5855564667,11.8918941816,30000000
6.3,0,0.2616682667,0.5796644667,11.9549572363,30000000
6.4,0,0.2699133667,0.5737862,12.0113408052,30000000
6.5,0,0.2784581333,0.5677443333,12.0720825467,30000000
6.6,0,0.2863971333,0.5620548,12.1230689444,30000000
