lambda,Pb,Pd,Nc
0.1,4.13E-21,0.0254866,0.105097
0.2,6.07E-17,0.0518857,0.220754
0.3,1.58E-14,0.0790907,0.347454
0.4,7.89E-13,0.106975,0.48558
0.5,1.58E-11,0.135395,0.635395
0.6,1.79E-10,0.164193,0.797031
0.7,1.35E-09,0.1932,0.97048
0.8,7.60E-09,0.222244,1.15559
0.9,3.41E-08,0.251152,1.35207
1,1.28E-07,0.279754,1.55951
1.1,4.14E-07,0.307894,1.77737
1.2,1.19E-06,0.335425,2.00502
1.3,3.08E-06,0.36222,2.24177
1.4,7.29E-06,0.388169,2.48686
1.5,1.60E-05,0.413183,2.73953
1.6,3.28E-05,0.437192,2.99896
1.7,6.34E-05,0.460144,3.26438
1.8,0.000116212,0.482003,3.535
1.9,0.000203137,0.502748,3.81006
2,0.000340183,0.522367,4.08879
2.1,0.000547985,0.540856,4.37044
2.2,0.000852073,0.558218,4.65428
2.3,0.00128282,0.574458,4.93955
2.4,0.00187504,0.589582,5.22549
2.5,0.00266719,0.603597,5.51132
2.6,0.00370026,0.61651,5.79623
2.7,0.00501633,0.628327,6.07942
2.8,0.00665701,0.639056,6.36008
2.9,0.00866176,0.648706,6.63738
3,0.0110663,0.657287,6.91052
3.1,0.0139013,0.664814,7.17875
3.2,0.017191,0.671304,7.44134
3.3,0.0209526,0.676782,7.69762
3.4,0.0251961,0.681274,7.947
3.5,0.0299234,0.684814,8.18897
3.6,0.0351295,0.68744,8.4231
3.7,0.0408025,0.689195,8.64907
3.8,0.0469243,0.690124,8.86663
3.9,0.0534719,0.690277,9.07562
4,0.060418,0.689705,9.27597
4.1,0.0677321,0.688461,9.46768
4.2,0.0753816,0.686597,9.65081
4.3,0.0833325,0.684167,9.8255
4.4,0.0915501,0.681222,9.99193
4.5,0.1,0.677812,10.1503
4.6,0.108649,0.673987,10.3009
4.7,0.117464,0.669792,10.444
4.8,0.126413,0.66527,10.5798
4.9,0.135469,0.660462,10.7087
5,0.144603,0.655407,10.8311
5.1,0.153791,0.650139,10.9471
5.2,0.163008,0.644691,11.0571
5.3,0.172234,0.639092,11.1615
5.4,0.18145,0.633369,11.2606
5.5,0.190639,0.627546,11.3545
5.6,0.199785,0.621646,11.4436
5.7,0.208875,0.615689,11.5283
5.8,0.217896,0.609691,11.6086
5.9,0.22684,0.60367,11.685
6,0.235695,0.597639,11.7575
