lambda,Pb,Pd,Nc
0.1,0,0.0060525638,0.1095643448
0.2,0,0.0145677347,0.2405309724
0.3,0,0.0260024247,0.3962541293
0.4,0,0.0407494678,0.5797344686
0.5,5E-10,0.0590780641,0.7932267732
0.6,0.0000000057,0.0810778734,1.0378560815
0.7,0.000000041,0.1066204279,1.3133307858
0.8,0.000000219,0.1353499843,1.6178361261
0.9,0.0000009237,0.1667093912,1.9481533568
1,0.0000032298,0.1999969391,2.2999890752
1.1,0.0000096831,0.2344414336,2.6684403008
1.2,0.0000255371,0.2692786627,3.048489118
1.3,0.0000604293,0.3038143206,3.4354269672
1.4,0.0001303387,0.3374646563,3.8251446977
1.5,0.0002595237,0.3697734015,4.2142706241
1.6,0.000482057,0.4004091177,4.6001766652
1.7,0.0008425804,0.4291497724,4.9808931163
1.8,0.001395996,0.455861414,5.3549762697
1.9,0.0022059722,0.4804763025,5.7213657689
2,0.0033423319,0.5029738219,6.0792567276
2.1,0.0048775657,0.5233656628,6.4279998957
2.2,0.0068828471,0.5416854285,6.7670338322
2.3,0.0094239819,0.5579820274,7.0958467735
2.4,0.0125577203,0.5723158773,7.4139623811
2.5,0.0163287788,0.5847569132,7.7209422036
2.6,0.0207678038,0.5953835432,8.0163978192
2.7,0.0258903739,0.6042819247,8.3000066781
2.8,0.0316970081,0.6115451703,8.5715271577
2.9,0.0381740505,0.6172723007,8.8308099324
3,0.0452952312,0.6215669084,9.0778042002
3.1,0.0530236822,0.6245355984,9.3125584624
3.2,0.0613141857,0.6262863139,9.5352163579
3.3,0.0701154649,0.6269266686,9.7460085347
3.4,0.0793723648,0.626562389,9.9452417372
3.5,0.0890278166,0.625295948,10.1332862837
3.6,0.0990245236,0.6232254355,10.3105629661
3.7,0.109306341,0.6204436876,10.4775302008
3.8,0.1198193489,0.6170376715,10.6346720315
3.9,0.1305126418,0.6130881055,10.7824873729
4,0.1413388644,0.6086692866,10.921480704
4.1,0.1522545333,0.6038490904,11.052154276
4.2,0.1632201822,0.5986891075,11.1750017997
4.3,0.1742003707,0.5932448851,11.2905035057
4.4,0.1851635878,0.5875662413,11.3991224335
4.5,0.1960820808,0.5816976294,11.5013017849
4.6,0.2069316337,0.5756785285,11.5974631767
4.7,0.217691314,0.569543846,11.6880056337
4.8,0.2283432041,0.5633243173,11.7733051759
4.9,0.2388721283,0.5570468953,11.8537148741
5,0.2492653844,0.5507351214,11.9295652615
5.1,0.2595124853,0.5444094746,12.0011650106
5.2,0.2696049151,0.5380876963,12.0688017971
5.3,0.279535902,0.5317850894,12.1327432907
5.4,0.2893002088,0.5255147911,12.1932382222
5.5,0.2988939421,0.5192880212,12.2505174895
5.6,0.3083143794,0.5131143063,12.3047952716
5.7,0.3175598133,0.5070016805,12.3562701305
5.8,0.3266294127,0.5009568658,12.4051260824
5.9,0.3355230985,0.4949854329,12.4515336293
6,0.3442414342,0.4890919445,12.4956507416
6.1,0.3527855282,0.4832800818,12.5376237878
6.2,0.3611569492,0.4775527573,12.5775884088
6.3,0.3693576506,0.4719122141,12.6156703363
6.4,0.3773899049,0.466360114,12.6519861552
6.5,0.3852562469,0.4608976145,12.6866440127
6.6,0.3929594236,0.4555254373,12.7197442741
6.7,0.4005023507,0.450243928,12.7513801305
6.8,0.4078880756,0.4450531091,12.7816381587
6.9,0.4151197445,0.439952726,12.8105988373
7,0.4222005751,0.4349422876,12.8383370224
7.1,0.4291338322,0.4300211019,12.8649223843
7.2,0.4359228075,0.4251883073,12.8904198096
7.3,0.4425708023,0.4204428994,12.91488977
7.4,0.4490811122,0.4157837552,12.9383886616
7.5,0.4554570152,0.4112096536,12.9609691156
7.6,0.4617017605,0.4067192938,12.9826802846
7.7,0.4678185607,0.4023113109,13.0035681047
7.8,0.4738105834,0.3979842896,13.0236755365
7.9,0.4796809464,0.3937367761,13.0430427861
8,0.4854327122,0.3895672887,13.0617075089
8.1,0.4910688842,0.3854743264,13.0797049961
8.2,0.4965924042,0.3814563769,13.0970683463
8.3,0.5020061496,0.3775119232,13.1138286238
8.4,0.5073129323,0.3736394491,13.1300150037
8.5,0.5125154972,0.3698374444,13.1456549061
8.6,0.5176165217,0.3661044088,13.1607741186
8.7,0.5226186159,0.3624388557,13.1753969106
8.8,0.5275243217,0.3588393149,13.1895461377
8.9,0.5323361143,0.3553043353,13.2032433384
9,0.5370564022,0.3518324869,13.2165088232
9.1,0.5416875277,0.3484223625,13.2293617571
9.2,0.5462317688,0.3450725791,13.2418202356
9.3,0.5506913394,0.341781779,13.2539013555
9.4,0.555068391,0.3385486304,13.2656212795
9.5,0.5593650136,0.3353718286,13.2769952972
9.6,0.5635832376,0.3322500958,13.2880378804
9.7,0.5677250345,0.3291821821,13.2987627353
9.8,0.571792319,0.3261668648,13.3091828508
9.9,0.5757869499,0.3232029492,13.3193105427
10,0.579710732,0.3202892681,13.3291574953
