lambda,Pb,Pd,Nc
0.1000000000,0.0000000000,0.0670412264,0.1009064832
5.1000000000,0.1690431581,0.6348840131,11.1422647086
0.2000000000,0.0000000000,0.0858494112,0.2141546291
5.2000000000,0.1785100838,0.6291866452,11.2447440405
15.1000000000,0.6671501419,0.2666246925,13.5224530085
0.3000000000,0.0000000000,0.1061674080,0.3405146925
10.1000000000,0.5148322329,0.3861578667,13.1430290320
5.3000000000,0.1879540649,0.6233701881,11.3418439238
0.4000000000,0.0000000000,0.1279137705,0.4806093225
15.2000000000,0.6692469836,0.2649635427,13.5267122407
0.5000000000,0.0000000000,0.1509693680,0.6348768294
10.2000000000,0.5191638954,0.3827968894,13.1560997323
5.4000000000,0.1973579613,0.6174596287,11.4338682726
0.6000000000,0.0000000003,0.1751792130,0.8035415673
15.3000000000,0.6713180139,0.2633225090,13.5308977330
0.7000000000,0.0000000022,0.2003566517,0.9865947417
10.3000000000,0.5234234130,0.3794892089,13.1687985026
5.5000000000,0.2067066020,0.6114774235,11.5211085645
15.4000000000,0.6733636955,0.2617012395,13.5350113472
0.8000000000,0.0000000123,0.2262897305,1.1837880755
10.4000000000,0.5276123921,0.3762337621,13.1811402477
0.9000000000,0.0000000550,0.2527492809,1.3946414311
5.6000000000,0.2159866551,0.6054436764,11.6038431033
15.5000000000,0.6753844807,0.2600993903,13.5390548843
1.0000000000,0.0000002053,0.2794980419,1.6184638929
5.7000000000,0.2251864936,0.5993763171,11.6823366098
15.6000000000,0.6773808111,0.2585166248,13.5430300864
5.8000000000,0.2342960585,0.5932912764,11.7568400771
10.5000000000,0.5317324019,0.3730295032,13.1931391220
1.1000000000,0.0000006610,0.3063000116,1.8543862237
5.9000000000,0.2433067246,0.5872026564,11.8275908365
15.7000000000,0.6793531185,0.2569526140,13.5469386398
1.2000000000,0.0000018818,0.3329292027,2.1014013155
6.0000000000,0.2522111702,0.5811228933,11.8948127870
1.3000000000,0.0000048286,0.3591770788,2.3584084515
15.8000000000,0.6813018246,0.2554070361,13.5507821763
6.1000000000,0.2610032525,0.5750629110,11.9587167492
1.4000000000,0.0000113317,0.3848581432,2.6242570188
6.2000000000,0.2696778902,0.5690322646,12.0195009102
15.9000000000,0.6832273420,0.2538795763,13.5545622759
1.5000000000,0.0000246102,0.4098133989,2.8977857237
6.3000000000,0.2782309537,0.5630392751,12.0773513333
1.6000000000,0.0000499376,0.4339116579,3.1778542626
16.0000000000,0.6851300736,0.2523699264,13.5582804689
6.4000000000,0.2866591629,0.5570911523,12.1324425097
1.7000000000,0.0000954232,0.4570489080,3.4633656010
10.6000000000,0.5357849741,0.3698754035,13.2048085744
16.1000000000,0.6870104135,0.2508777852,13.5619382373
1.8000000000,0.0001728442,0.4791461158,3.7532783120
6.5000000000,0.2949599940,0.5511941091,12.1849379353
1.9000000000,0.0002984366,0.5001459475,4.0466096341
16.2000000000,0.6888687471,0.2494028579,13.5655370171
10.7000000000,0.5397716040,0.3667704524,13.2161613891
2.0000000000,0.0004935313,0.5200089157,4.3424308960
6.6000000000,0.3031315930,0.5453534656,12.2349906974
16.3000000000,0.6907054509,0.2479448558,13.5690781998
2.1000000000,0.0007849254,0.5387094313,4.6398576203
10.8000000000,0.5436937502,0.3637136574,13.2272097252
2.2000000000,0.0012048883,0.5562321582,4.9380369321
6.7000000000,0.3111726973,0.5395737435,12.2827440620
16.4000000000,0.6925208935,0.2465034967,13.5725631342
2.3000000000,0.0017907398,0.5725689597,5.2361348642
6.8000000000,0.3190825649,0.5338587529,12.3283320524
16.5000000000,0.6943154351,0.2450785043,13.5759931281
2.4000000000,0.0025839819,0.5877166072,5.5333258125
6.9000000000,0.3268609102,0.5282116699,12.3718800132
2.5000000000,0.0036290148,0.6016753028,5.8287858305
16.6000000000,0.6960894280,0.2436696081,13.5793694494
10.9000000000,0.5475528363,0.3607040447,13.2379651522
7.0000000000,0.3345078454,0.5226351076,12.4135051545
2.6000000000,0.0049715216,0.6144479682,6.1216907432
