lambda,Pb,Pd,Nc
0.1,7.47E-22,0.261532,0.0784595
0.2,1.13E-17,0.273626,0.164176
0.3,3.03E-15,0.286278,0.25765
0.4,1.56E-13,0.299474,0.359369
0.5,3.23E-12,0.313195,0.469793
0.6,3.77E-11,0.327413,0.589344
0.7,2.95E-10,0.342092,0.718394
0.8,1.72E-09,0.357188,0.857251
0.9,8.04E-09,0.372649,1.00615
1,3.13E-08,0.388415,1.16525
1.1,1.06E-07,0.404423,1.3346
1.2,3.16E-07,0.420602,1.51417
1.3,8.51E-07,0.43688,1.70383
1.4,2.10E-06,0.453182,1.90336
1.5,4.81E-06,0.469432,2.11244
1.6,1.03E-05,0.485557,2.33067
1.7,2.07E-05,0.501486,2.55758
1.8,3.96E-05,0.517151,2.79262
1.9,7.21E-05,0.532489,3.03519
2,0.000125761,0.547442,3.28465
2.1,0.000210824,0.561956,3.54032
2.2,0.000340903,0.575982,3.80148
2.3,0.000533304,0.589474,4.06737
2.4,0.000809269,0.602392,4.33722
2.5,0.00119399,0.614696,4.61022
2.6,0.00171639,0.626352,4.88554
2.7,0.00240853,0.637326,5.16234
2.8,0.00330491,0.647588,5.43974
2.9,0.00444137,0.65711,5.71686
3,0.00585396,0.665869,5.99282
3.1,0.00757762,0.673844,6.26675
3.2,0.00964492,0.681019,6.53779
3.3,0.0120849,0.687384,6.8051
3.4,0.0149219,0.692932,7.06791
3.5,0.0181749,0.697666,7.32549
3.6,0.0218571,0.70159,7.57718
3.7,0.0259753,0.70472,7.82239
3.8,0.0305301,0.707073,8.06063
3.9,0.0355162,0.708673,8.29147
4,0.0409228,0.70955,8.51459
4.1,0.0467342,0.709736,8.72975
4.2,0.0529302,0.709268,8.93678
4.3,0.0594876,0.708186,9.1356
4.4,0.0663803,0.70653,9.3262
4.5,0.0735803,0.704343,9.50863
4.6,0.0810583,0.701665,9.68298
4.7,0.0887846,0.698541,9.84942
4.8,0.0967296,0.69501,10.0081
4.9,0.104864,0.691112,10.1593
5,0.113159,0.686887,10.3033
5.1,0.121587,0.682371,10.4403
5.2,0.130124,0.677598,10.5705
5.3,0.138743,0.672601,10.6944
5.4,0.147423,0.66741,10.812
5.5,0.156143,0.662054,10.9239
5.6,0.164883,0.656558,11.0302
5.7,0.173626,0.650945,11.1312
5.8,0.182356,0.645239,11.2272
5.9,0.191058,0.639457,11.3184
6,0.199719,0.63362,11.4052
6.1,0.208329,0.627741,11.4877
6.2,0.216876,0.621837,11.5662
6.3,0.225353,0.61592,11.6409
6.4,0.233751,0.610001,11.712
6.5,0.242064,0.604092,11.7798
6.6,0.250286,0.598201,11.8444
6.7,0.258412,0.592336,11.906
6.8,0.266438,0.586505,11.9647
6.9,0.27436,0.580713,12.0208
7,0.282177,0.574967,12.0743
7.1,0.289885,0.569271,12.1255
7.2,0.297483,0.563628,12.1744
7.3,0.30497,0.558044,12.2212
7.4,0.312346,0.552519,12.2659
7.5,0.319609,0.547058,12.3088
7.6,0.32676,0.541662,12.3499
7.7,0.333798,0.536332,12.3893
7.8,0.340725,0.53107,12.427
7.9,0.347541,0.525877,12.4633
8,0.354246,0.520754,12.4981
8.1,0.360842,0.515701,12.5315
8.2,0.36733,0.510719,12.5637
8.3,0.373711,0.505807,12.5946
8.4,0.379986,0.500966,12.6243
8.5,0.386157,0.496196,12.653
8.6,0.392226,0.491495,12.6806
8.7,0.398193,0.486864,12.7072
8.8,0.404061,0.482303,12.7328
8.9,0.409831,0.47781,12.7575
9,0.415504,0.473385,12.7814
9.1,0.421083,0.469027,12.8044
9.2,0.426569,0.464735,12.8267
9.3,0.431964,0.460509,12.8482
9.4,0.43727,0.456347,12.869
9.5,0.442487,0.45225,12.8891
9.6,0.447619,0.448215,12.9086
9.7,0.452666,0.444242,12.9274
9.8,0.45763,0.440329,12.9457
9.9,0.462513,0.436477,12.9634
10,0.467316,0.432684,12.9805
10.1,0.472042,0.428948,12.9971
10.2,0.476691,0.42527,13.0133
10.3,0.481265,0.421647,13.0289
10.4,0.485767,0.41808,13.0441
10.5,0.490196,0.414566,13.0588
10.6,0.494555,0.411106,13.0732
10.7,0.498845,0.407697,13.0871
10.8,0.503068,0.40434,13.1006
10.9,0.507224,0.401033,13.1138
11,0.511316,0.397775,13.1266
11.1,0.515345,0.394565,13.139
11.2,0.519311,0.391403,13.1512
11.3,0.523217,0.388288,13.163
11.4,0.527063,0.385218,13.1745
11.5,0.530851,0.382193,13.1857
11.6,0.534581,0.379212,13.1966
11.7,0.538256,0.376274,13.2072
11.8,0.541876,0.373378,13.2176
11.9,0.545443,0.370524,13.2277
12,0.548956,0.36771,13.2376
12.1,0.552419,0.364937,13.2472
12.2,0.555831,0.362202,13.2566
12.3,0.559193,0.359506,13.2658
12.4,0.562507,0.356848,13.2747
12.5,0.565773,0.354227,13.2835
12.6,0.568993,0.351642,13.2921
12.7,0.572167,0.349092,13.3004
12.8,0.575297,0.346578,13.3086
12.9,0.578383,0.344098,13.3166
13,0.581425,0.341651,13.3244
13.1,0.584426,0.339238,13.3321
13.2,0.587385,0.336857,13.3395
13.3,0.590304,0.334508,13.3469
13.4,0.593184,0.33219,13.354
13.5,0.596024,0.329902,13.361
13.6,0.598826,0.327645,13.3679
13.7,0.60159,0.325417,13.3746
13.8,0.604318,0.323218,13.3812
13.9,0.60701,0.321048,13.3877
14,0.609666,0.318905,13.394
14.1,0.612288,0.31679,13.4002
14.2,0.614876,0.314702,13.4063
14.3,0.61743,0.31264,13.4123
14.4,0.619951,0.310604,13.4181
14.5,0.622441,0.308594,13.4238
14.6,0.624898,0.306609,13.4295
14.7,0.627325,0.304648,13.435
14.8,0.629721,0.302712,13.4404
14.9,0.632087,0.300799,13.4457
15,0.634424,0.29891,13.4509
15.1,0.636732,0.297043,13.4561
15.2,0.639011,0.295199,13.4611
15.3,0.641263,0.293378,13.466
15.4,0.643487,0.291578,13.4709
15.5,0.645685,0.289799,13.4757
15.6,0.647856,0.288042,13.4803
15.7,0.650001,0.286305,13.485
15.8,0.652121,0.284588,13.4895
15.9,0.654215,0.282891,13.4939
16,0.656285,0.281215,13.4983
16.1,0.658331,0.279557,13.5026
16.2,0.660353,0.277918,13.5068
16.3,0.662352,0.276298,13.511
16.4,0.664328,0.274697,13.5151
16.5,0.666281,0.273113,13.5191
16.6,0.668212,0.271547,13.5231
16.7,0.670121,0.269999,13.527
16.8,0.672008,0.268468,13.5308
16.9,0.673875,0.266954,13.5346
17,0.67572,0.265456,13.5383
17.1,0.677545,0.263975,13.5419
17.2,0.67935,0.26251,13.5455
17.3,0.681135,0.261061,13.5491
17.4,0.682901,0.259628,13.5526
17.5,0.684647,0.25821,13.556
17.6,0.686375,0.256807,13.5594
17.7,0.688084,0.255419,13.5627
17.8,0.689775,0.254045,13.566
17.9,0.691448,0.252686,13.5693
18,0.693103,0.251342,13.5725
18.1,0.69474,0.250011,13.5756
18.2,0.696361,0.248694,13.5787
18.3,0.697964,0.247391,13.5818
18.4,0.699551,0.246101,13.5848
18.5,0.701122,0.244824,13.5877
18.6,0.702676,0.24356,13.5907
18.7,0.704215,0.242309,13.5936
18.8,0.705738,0.241071,13.5964
18.9,0.707245,0.239845,13.5992
19,0.708737,0.238631,13.602
19.1,0.710214,0.23743,13.6047
19.2,0.711677,0.23624,13.6074
19.3,0.713125,0.235062,13.6101
19.4,0.714558,0.233895,13.6127
19.5,0.715978,0.23274,13.6153
19.6,0.717384,0.231596,13.6178
19.7,0.718775,0.230463,13.6204
19.8,0.720154,0.229341,13.6229
19.9,0.721519,0.22823,13.6253
20,0.722871,0.227129,13.6277
