lambda,Pb,Pd,Nc
0.1,0,0.0670412264,0.1009064832
0.2,0,0.0858494112,0.2141546291
0.3,0,0.106167408,0.3405146925
0.4,0,0.1279137705,0.4806093225
0.5,0,0.150969368,0.6348768294
0.6,3E-10,0.175179213,0.8035415673
0.7,0.0000000022,0.2003566517,0.9865947417
0.8,0.0000000123,0.2262897305,1.1837880755
0.9,0.000000055,0.2527492809,1.3946414311
1,0.0000002053,0.2794980419,1.6184638929
1.1,0.000000661,0.3063000116,1.8543862237
1.2,0.0000018818,0.3329292027,2.1014013155
1.3,0.0000048286,0.3591770788,2.3584084515
1.4,0.0000113317,0.3848581432,2.6242570188
1.5,0.0000246102,0.4098133989,2.8977857237
1.6,0.0000499376,0.4339116579,3.1778542626
1.7,0.0000954232,0.457048908,3.463365601
1.8,0.0001728442,0.4791461158,3.753278312
1.9,0.0002984366,0.5001459475,4.0466096341
2,0.0004935313,0.5200089157,4.342430896
2.1,0.0007849254,0.5387094313,4.6398576203
2.2,0.0012048883,0.5562321582,4.9380369321
2.3,0.0017907398,0.5725689597,5.2361348642
2.4,0.0025839819,0.5877166072,5.5333258125
2.5,0.0036290148,0.6016753028,5.8287858305
2.6,0.0049715216,0.6144479682,6.1216907432
2.7,0.0066566405,0.6260401712,6.4112193221
2.8,0.0087270723,0.6364605164,6.6965610748
2.9,0.0112212707,0.645721305,6.9769276583
3,0.014171855,0.6538392745,7.2515665706
3.1,0.0176043527,0.6608362604,7.5197756297
3.2,0.021536343,0.6667396596,7.7809168093
3.3,0.0259770301,0.6715826252,8.0344282154
3.4,0.030927235,0.6754039649,8.2798333131
3.5,0.0363797625,0.6782477582,8.5167468839
3.6,0.0423200754,0.6801627321,8.7448775527
3.7,0.0487271973,0.6812014561,8.9640270344
3.8,0.05557476,0.6814194226,9.1740864876
3.9,0.062832118,0.6808740793,9.37503051
4,0.0704654637,0.6796238704,9.5669093826
4.1,0.078438888,0.6777273347,9.7498401709
4.2,0.0867153492,0.6752422934,9.9239972438
4.3,0.0952575242,0.6722251506,10.0896026911
4.4,0.104028529,0.6687303158,10.2469170246
4.5,0.1129925072,0.6648097501,10.396230449
4.6,0.1221150901,0.6605126314,10.5378548951
4.7,0.131363739,0.6558851269,10.6721169307
4.8,0.1407079828,0.6509702621,10.7993515945
4.9,0.1501195645,0.6458078693,10.9198971488
5,0.159572514,0.6404346039,11.034090713
5.1,0.1690431581,0.6348840131,11.1422647086
5.2,0.1785100838,0.6291866452,11.2447440405
5.3,0.1879540649,0.6233701881,11.3418439238
5.4,0.1973579613,0.6174596287,11.4338682726
5.5,0.206706602,0.6114774235,11.5211085645
5.6,0.2159866551,0.6054436764,11.6038431033
5.7,0.2251864936,0.5993763171,11.6823366098
5.8,0.2342960585,0.5932912764,11.7568400771
5.9,0.2433067246,0.5872026564,11.8275908365
6,0.2522111702,0.5811228933,11.894812787
6.1,0.2610032525,0.575062911,11.9587167492
6.2,0.2696778902,0.5690322646,12.0195009102
6.3,0.2782309537,0.5630392751,12.0773513333
6.4,0.2866591629,0.5570911523,12.1324425097
6.5,0.294959994,0.5511941091,12.1849379353
6.6,0.303131593,0.5453534656,12.2349906974
6.7,0.3111726973,0.5395737435,12.282744062
6.8,0.3190825649,0.5338587529,12.3283320524
6.9,0.3268609102,0.5282116699,12.3718800132
7,0.3345078454,0.5226351076,12.4135051545
7.1,0.3420238294,0.5171311794,12.4533170743
7.2,0.3494096203,0.5117015564,12.4914182562
7.3,0.3566662343,0.5063475188,12.5279045418
7.4,0.3637949083,0.5010700019,12.5628655764
7.5,0.3707970667,0.4958696377,12.596385229
7.6,0.3776742926,0.4907467915,12.6285419868
7.7,0.3844283012,0.4857015954,12.6594093239
7.8,0.3910609168,0.4807339771,12.6890560468
7.9,0.3975740531,0.475843687,12.7175466165
8,0.4039696946,0.471030321,12.7449414481
8.1,0.4102498814,0.4662933417,12.7712971905
8.2,0.4164166949,0.4616320967,12.796666986
8.3,0.4224722464,0.4570458353,12.8211007118
8.4,0.4284186657,0.4525337232,12.8446452038
8.5,0.4342580928,0.4480948551,12.8673444651
8.6,0.4399926694,0.4437282666,12.8892398586
8.7,0.4456245319,0.4394329442,12.9103702867
8.8,0.4511558061,0.4352078344,12.9307723568
8.9,0.4565886015,0.4310518515,12.9504805361
9,0.4619250071,0.4269638848,12.9695272938
9.1,0.467167088,0.4229428048,12.9879432344
9.2,0.4723168818,0.4189874683,13.0057572204
9.3,0.4773763966,0.4150967236,13.0229964864
9.4,0.4823476085,0.4112694145,13.0396867453
9.5,0.4872324597,0.4075043839,13.0558522865
9.6,0.4920328575,0.4038004771,13.0715160673
9.7,0.4967506731,0.4001565444,13.0866997978
9.8,0.5013877408,0.3965714438,13.1014240199
9.9,0.5059458572,0.3930440426,13.1157081802
10,0.510426781,0.3895732197,13.1295706987
10.1,0.5148322329,0.3861578667,13.143029032
10.2,0.5191638954,0.3827968894,13.1560997323
10.3,0.523423413,0.3794892089,13.1687985026
10.4,0.5276123921,0.3762337621,13.1811402477
10.5,0.5317324019,0.3730295032,13.193139122
10.6,0.5357849741,0.3698754035,13.2048085744
10.7,0.539771604,0.3667704524,13.2161613891
10.8,0.5436937502,0.3637136574,13.2272097252
10.9,0.5475528363,0.3607040447,13.2379651522
11,0.5513502502,0.3577406591,13.2484386846
11.1,0.5550873458,0.3548225642,13.2586408125
11.2,0.5587654433,0.3519488426,13.2685815323
11.3,0.5623858295,0.3491185954,13.2782703735
11.4,0.5659497591,0.3463309428,13.287716425
11.5,0.569458455,0.3435850233,13.2969283595
11.6,0.5729131094,0.3408799941,13.3059144557
11.7,0.576314884,0.3382150306,13.3146826203
