lambda,is_tetha_fixed,Pb,Pd,Nc,client_numbers
15.0000000000,1,0.6651394000,0.2681611000,13.5143955785,30000000
10.0000000000,1,0.5108294333,0.3892544000,13.1185182834,30000000
5.0000000000,1,0.1616427667,0.6381881667,10.9995614541,30000000
0.1000000000,1,0.0000000000,0.0671256333,0.1015578979,30000000
0.2000000000,1,0.0000000000,0.0863455333,0.2165658490,30000000
0.3000000000,1,0.0000000000,0.1073708667,0.3457144685,30000000
0.4000000000,1,0.0000000000,0.1300754333,0.4894979888,30000000
0.5000000000,1,0.0000000000,0.1538510333,0.6473673958,30000000
15.1000000000,1,0.6672455000,0.2665316000,13.5181476063,30000000
10.1000000000,1,0.5151813333,0.3858042667,13.1324208864,30000000
5.1000000000,1,0.1712793667,0.6327292667,11.1074748215,30000000
0.6000000000,1,0.0000000000,0.1789827333,0.8205544782,30000000
0.7000000000,1,0.0000000333,0.2048616333,1.0077915457,30000000
0.8000000000,1,0.0000001000,0.2315427667,1.2086175301,30000000
15.2000000000,1,0.6694089333,0.2648489333,13.5233601393,30000000
0.9000000000,1,0.0000001333,0.2584342333,1.4220694723,30000000
10.2000000000,1,0.5195882667,0.3824828000,13.1461797310,30000000
5.2000000000,1,0.1806735667,0.6269889333,11.2089446851,30000000
1.0000000000,1,0.0000002000,0.2855111000,1.6487621995,30000000
1.1000000000,1,0.0000007333,0.3124746667,1.8863346762,30000000
15.3000000000,1,0.6713524333,0.2632836000,13.5271548192,30000000
1.2000000000,1,0.0000033667,0.3387766667,2.1335059649,30000000
10.3000000000,1,0.5237405667,0.3791929333,13.1593106289,30000000
5.3000000000,1,0.1900222000,0.6212096000,11.3071023531,30000000
1.3000000000,1,0.0000080333,0.3647436000,2.3897330979,30000000
15.4000000000,1,0.6733578667,0.2616426333,13.5308408628,30000000
1.4000000000,1,0.0000168333,0.3900441667,2.6544836283,30000000
10.4000000000,1,0.5279845667,0.3759207667,13.1714307483,30000000
1.5000000000,1,0.0000413000,0.4145653667,2.9264309034,30000000
5.4000000000,1,0.1993689000,0.6154026000,11.3998767261,30000000
15.5000000000,1,0.6755564667,0.2599571667,13.5356414534,30000000
1.6000000000,1,0.0000726000,0.4383536333,3.2060050291,30000000
10.5000000000,1,0.5321055000,0.3725971000,13.1843685087,30000000
1.7000000000,1,0.0001329333,0.4612891333,3.4910498537,30000000
5.5000000000,1,0.2087143333,0.6095447000,11.4884960786,30000000
15.6000000000,1,0.6774463000,0.2584781000,13.5398582297,30000000
1.8000000000,1,0.0002410667,0.4826798000,3.7770614632,30000000
10.6000000000,1,0.5363236667,0.3693196333,13.1951068178,30000000
1.9000000000,1,0.0004000667,0.5030215333,4.0668394375,30000000
15.7000000000,1,0.6793443333,0.2569391333,13.5433011697,30000000
5.6000000000,1,0.2177375000,0.6034481667,11.5716801045,30000000
10.7000000000,1,0.5399585667,0.3665574000,13.2065633661,30000000
2.0000000000,1,0.0006516000,0.5222407000,4.3596015337,30000000
15.8000000000,1,0.6814079333,0.2553136333,13.5468934714,30000000
2.1000000000,1,0.0005375667,0.2909242667,-nan,30000000
5.7000000000,1,0.2267796667,0.5974944333,11.6493645997,30000000
10.8000000000,1,0.5440844333,0.3632912667,13.2188427902,30000000
2.2000000000,1,0.0014825333,0.5578235333,4.9502962892,30000000
15.9000000000,1,0.6832582000,0.2538937000,13.5510146274,30000000
2.3000000000,1,0.0021870333,0.5736430333,5.2448702780,30000000
5.8000000000,1,0.2360164000,0.5913954000,11.7229308644,30000000
10.9000000000,1,0.5477078000,0.3604913000,13.2285047978,30000000
16.0000000000,1,0.6852157333,0.2522817333,13.5548759828,30000000
2.4000000000,1,0.0031213333,0.5885540333,5.5433105193,30000000
5.9000000000,1,0.2449151667,0.5854502000,11.7962513382,30000000
11.0000000000,1,0.5514484667,0.3575542333,13.2388497701,30000000
16.1000000000,1,0.6871288333,0.2508788667,13.5590393049,30000000
2.5000000000,1,0.0042619333,0.6022468667,5.8355990755,30000000
2.6000000000,1,0.0057255667,0.6144160333,6.1227704123,30000000
16.2000000000,1,0.6889128333,0.2493686000,13.5621537227,30000000
11.1000000000,1,0.5554084000,0.3545117667,13.2510605649,30000000
6.0000000000,1,0.2539082333,0.5794294667,11.8650761014,30000000
6.1000000000,1,0.1484338333,0.3241763333,-nan,30000000
2.7000000000,1,0.0075902000,0.6258597333,6.4119601916,30000000
16.3000000000,1,0.6906805667,0.2479402667,13.5660020192,30000000
11.2000000000,1,0.5589984333,0.3516175667,13.2601914045,30000000
2.8000000000,1,0.0098219000,0.6360146000,6.6933912986,30000000
16.4000000000,1,0.6925720333,0.2464289333,13.5696926520,30000000
6.2000000000,1,0.2713558333,0.5673481333,11.9911251986,30000000
11.3000000000,1,0.5626523000,0.3487967000,13.2701955441,30000000
2.9000000000,1,0.0125350000,0.6449320333,6.9725983608,30000000
16.5000000000,1,0.6944739667,0.2450142333,13.5734938653,30000000
6.3000000000,1,0.2795045000,0.5615951667,12.0490568523,30000000
11.4000000000,1,0.5661492667,0.3461393667,13.2792369281,30000000
3.0000000000,1,0.0155805667,0.6529955333,7.2448536033,30000000
16.6000000000,1,0.6960858333,0.2436306667,13.5765104412,30000000
11.5000000000,1,0.5696791000,0.3433048667,13.2901739402,30000000
6.4000000000,1,0.2881305000,0.5554653000,12.1049082260,30000000
3.1000000000,1,0.0191828000,0.6595835000,7.5096214850,30000000
16.7000000000,1,0.6979898333,0.2422099667,13.5801292563,30000000
11.6000000000,1,0.5731710333,0.3406262000,13.2986493608,30000000
3.2000000000,1,0.0232822000,0.6651579667,7.7674783671,30000000
6.5000000000,1,0.2962375667,0.5497707333,12.1570486363,30000000
16.8000000000,1,0.6995634667,0.2408112667,13.5831679337,30000000
11.7000000000,1,0.5764960333,0.3379452000,13.3071173530,30000000
3.3000000000,1,0.0278545000,0.6696139000,8.0150359768,30000000
6.6000000000,1,0.3046133000,0.5439056667,12.2099355232,30000000
16.9000000000,1,0.7013436667,0.2394915333,13.5864494536,30000000
11.8000000000,1,0.5799834333,0.3352729667,13.3166789712,30000000
3.4000000000,1,0.0329923333,0.6735930333,8.2625497880,30000000
17.0000000000,1,0.7031220667,0.2381485333,13.5901105322,30000000
6.7000000000,1,0.3123664000,0.5383370000,12.2571597997,30000000
11.9000000000,1,0.5831776333,0.3327886333,13.3244889071,30000000
3.5000000000,1,0.0385930333,0.6760029333,8.4946936343,30000000
17.1000000000,1,0.7046043333,0.2368826667,13.5924169617,30000000
6.8000000000,1,0.3203230333,0.5326203333,12.3039753648,30000000
12.0000000000,1,0.5863733333,0.3302811000,13.3326395607,30000000
3.6000000000,1,0.0445309000,0.6780522333,8.7212348529,30000000
17.2000000000,1,0.7063254333,0.2355224333,13.5961038138,30000000
6.9000000000,1,0.3283142000,0.5268127000,12.3490824906,30000000
12.1000000000,1,0.5896631000,0.3276767667,13.3410643556,30000000
3.7000000000,1,0.0510471000,0.6789276333,8.9378848557,30000000
17.3000000000,1,0.7080324000,0.2341446333,13.5988989464,30000000
7.0000000000,1,0.3354956333,0.5215913333,12.3891753794,30000000
12.2000000000,1,0.5928628667,0.3252454667,13.3488016359,30000000
17.4000000000,1,0.7096494667,0.2329163333,13.6022331175,30000000
3.8000000000,1,0.0580348333,0.6789336000,9.1470494783,30000000
7.1000000000,1,0.3429683333,0.5160607333,12.4290370388,30000000
12.3000000000,1,0.5958825000,0.3228019667,13.3568411471,30000000
17.5000000000,1,0.7112517667,0.2315986333,13.6047294378,30000000
3.9000000000,1,0.0652794000,0.6784614667,9.3467956627,30000000
17.6000000000,1,0.7127625333,0.2303892333,13.6079691568,30000000
12.4000000000,1,0.5989134667,0.3204338667,13.3642867389,30000000
7.2000000000,1,0.3505262000,0.5106505667,12.4700790645,30000000
4.0000000000,1,0.0731006000,0.6769983333,9.5387583666,30000000
17.7000000000,1,0.7144004000,0.2290829000,13.6109603412,30000000
12.5000000000,1,0.6018660333,0.3181442667,13.3710291833,30000000
7.3000000000,1,0.3575471000,0.5052996667,12.5049410129,30000000
4.1000000000,1,0.0809701000,0.6750567333,9.7169748461,30000000
17.8000000000,1,0.7158454333,0.2279124000,13.6132408475,30000000
12.6000000000,1,0.6049208000,0.3157251000,13.3792230579,30000000
7.4000000000,1,0.3647366667,0.5000476333,12.5424686893,30000000
4.2000000000,1,0.0891739667,0.6726748000,9.8905590944,30000000
17.9000000000,1,0.7174672333,0.2267133667,13.6163838578,30000000
12.7000000000,1,0.6077888333,0.3135622667,13.3864321643,30000000
18.0000000000,1,0.4121634000,0.1292143000,-nan,30000000
7.5000000000,1,0.3717719667,0.4948418000,12.5755694523,30000000
4.3000000000,1,0.0976910000,0.6696963000,10.0553470117,30000000
12.8000000000,1,0.6106311000,0.3112192667,13.3929630335,30000000
18.1000000000,1,0.7204318000,0.2242820333,13.6218596418,30000000
7.6000000000,1,0.3785436667,0.4897995667,12.6094845202,30000000
4.4000000000,1,0.1065697667,0.6659136667,10.2112025300,30000000
12.9000000000,1,0.6137000000,0.3088674667,13.4004314527,30000000
18.2000000000,1,0.7219675667,0.2230203000,13.6248003581,30000000
7.7000000000,1,0.3854063000,0.4847585333,12.6404045825,30000000
4.5000000000,1,0.1154368333,0.6623915333,10.3611969423,30000000
13.0000000000,1,0.6163004000,0.3067166000,13.4061959994,30000000
18.3000000000,1,0.7235152333,0.2218790333,13.6276262377,30000000
7.8000000000,1,0.3918852000,0.4798395000,12.6700747008,30000000
4.6000000000,1,0.1246283000,0.6579907667,10.5051759353,30000000
13.1000000000,1,0.6191240000,0.3045382667,13.4128343947,30000000
18.4000000000,1,0.7249132000,0.2207437333,13.6296039455,30000000
7.9000000000,1,0.3984859000,0.4749407667,12.7003977666,30000000
18.5000000000,1,0.7264454333,0.2195484333,13.6325643366,30000000
13.2000000000,1,0.6218245000,0.3023786333,13.4190421714,30000000
4.7000000000,1,0.1339156667,0.6533821333,10.6408489573,30000000
18.6000000000,1,0.7278534667,0.2184071000,13.6353357935,30000000
13.3000000000,1,0.6245480333,0.3002298667,13.4255355102,30000000
8.0000000000,1,0.4046061333,0.4702916333,12.7260589089,30000000
4.8000000000,1,0.1430192000,0.6485201000,10.7659253682,30000000
18.7000000000,1,0.7292132667,0.2172494000,13.6377962297,30000000
13.4000000000,1,0.6271402000,0.2982541333,13.4311239546,30000000
8.1000000000,1,0.4108879333,0.4656020000,12.7543502107,30000000
4.9000000000,1,0.1524187000,0.6434809000,10.8856132679,30000000
18.8000000000,1,0.7306064000,0.2161967000,13.6399721166,30000000
13.5000000000,1,0.6297453667,0.2960952000,13.4376305727,30000000
8.2000000000,1,0.4170270000,0.4608994667,12.7791259193,30000000
5.0000000000,1,0.1619391000,0.6381554667,11.0014301794,30000000
18.9000000000,1,0.7320228667,0.2150473667,13.6427224660,30000000
13.6000000000,1,0.6323936000,0.2940048667,13.4432845199,30000000
8.3000000000,1,0.4230440000,0.4563926000,12.8043397771,30000000
19.0000000000,1,0.7332997000,0.2141042333,13.6445878886,30000000
13.7000000000,1,0.6349323667,0.2920187667,13.4487195063,30000000
8.4000000000,1,0.4288579667,0.4518480333,12.8291233673,30000000
19.1000000000,1,0.7346776667,0.2129282667,13.6472891086,30000000
13.8000000000,1,0.6373271000,0.2902055000,13.4545278209,30000000
19.2000000000,1,0.7360295333,0.2119436667,13.6499075191,30000000
8.5000000000,1,0.4348651000,0.4474199333,12.8516520504,30000000
13.9000000000,1,0.6398152000,0.2881437333,13.4601734246,30000000
19.3000000000,1,0.7374881000,0.2108194333,13.6520781375,30000000
8.6000000000,1,0.4404369333,0.4431765667,12.8735519616,30000000
14.0000000000,1,0.6423261667,0.2862008333,13.4655522280,30000000
19.4000000000,1,0.7385667000,0.2098866667,13.6543521087,30000000
8.7000000000,1,0.4462849000,0.4387158667,12.8956333993,30000000
14.1000000000,1,0.6447858000,0.2843246667,13.4708138550,30000000
19.5000000000,1,0.7400383333,0.2087095000,13.6565026903,30000000
8.8000000000,1,0.4515989667,0.4347318333,12.9161957720,30000000
14.2000000000,1,0.6471759000,0.2823927667,13.4757696652,30000000
19.6000000000,1,0.7413050667,0.2076811667,13.6587603469,30000000
14.3000000000,1,0.6494427000,0.2806198333,13.4813090967,30000000
8.9000000000,1,0.4570862667,0.4304426333,12.9363082455,30000000
19.7000000000,1,0.7425439667,0.2066697333,13.6607666775,30000000
14.4000000000,1,0.6517849000,0.2786833333,13.4858439180,30000000
19.8000000000,1,0.7438168333,0.2056840333,13.6633772932,30000000
9.0000000000,1,0.4624907333,0.4263338667,12.9559847279,30000000
14.5000000000,1,0.6541291000,0.2769155333,13.4904350088,30000000
19.9000000000,1,0.7450407667,0.2046969000,13.6649330624,30000000
9.1000000000,1,0.4675912667,0.4223907000,12.9738270822,30000000
20.0000000000,1,0.7463129667,0.2036765333,13.6673781149,30000000
14.6000000000,1,0.6563888667,0.2750899333,13.4955095410,30000000
9.2000000000,1,0.4727547667,0.4184491333,12.9915921453,30000000
14.7000000000,1,0.6585514333,0.2733606333,13.4998314424,30000000
9.3000000000,1,0.4777857000,0.4146548333,13.0097946130,30000000
14.8000000000,1,0.6607465000,0.2717268667,13.5049526283,30000000
9.4000000000,1,0.4829058333,0.4106720000,13.0268917618,30000000
14.9000000000,1,0.6628965000,0.2700691667,13.5093122636,30000000
9.5000000000,1,0.4874815333,0.4070768333,13.0434845070,30000000
15.0000000000,1,0.6650385667,0.2682877667,13.5140364174,30000000
9.6000000000,1,0.4923816000,0.4034150333,13.0600611143,30000000
9.7000000000,1,0.4971643000,0.3997395667,13.0751421881,30000000
9.8000000000,1,0.5017629333,0.3961131000,13.0902736418,30000000
9.9000000000,1,0.5062956333,0.3925086667,13.1032438748,30000000
10.0000000000,1,0.5107430667,0.3891513667,13.1199414750,30000000
0.1000000000,0,0.0000000000,0.2613103667,0.0784362102,30000000
